Mes_Ano;Ferrovia;Mercadoria_ANTT;Estacao_Origem;UF_Origem;Estacao_Destino;UF_Destino;TU;TKU
01/2023;MRS;Contêiner Cheio de 40 Pés;Santos;SP;Boa Vista Velha;SP;462;88.573
01/2023;MRS;Contêiner Cheio de 40 Pés;Santos;SP;Jundiaí;SP;1.614;225.167
01/2023;MRS;Contêiner Cheio de 40 Pés - Perigoso;Conceiçãozinha;SP;Eng. Neiva;SP;2.022;490.542
01/2023;MRS;Contêiner Vazio de 20 Pés;Arará;RJ;Dias Tavares;MG;14;4.108
01/2023;MRS;Contêiner Vazio de 20 Pés;Arará;RJ;Eldorado;MG;161;103.460
01/2023;MRS;Contêiner Vazio de 20 Pés;Brisamar;RJ;Eldorado;MG;207;126.672
01/2023;MRS;Contêiner Vazio de 20 Pés;Brisamar;RJ;Itutinga;MG;94;55.464
01/2023;MRS;Contêiner Vazio de 20 Pés;Cragea;SP;Conceiçãozinha;SP;837;44.684
01/2023;MRS;Contêiner Vazio de 20 Pés;Curuputuba;SP;Conceiçãozinha;SP;18;3.819
01/2023;MRS;Contêiner Vazio de 20 Pés;Eldorado;MG;Arará;RJ;221;128.798
01/2023;MRS;Contêiner Vazio de 20 Pés;Eng. Neiva;SP;Conceiçãozinha;SP;329;79.814
01/2023;MRS;Contêiner Vazio de 20 Pés;Final Ramal das Fábricas;SP;Itutinga;MG;106;60.977
01/2023;MRS;Contêiner Vazio de 20 Pés;Floriano;RJ;Arará;RJ;140;24.106
01/2023;MRS;Contêiner Vazio de 40 Pés;Água Branca;SP;Final Ramal das Fábricas;SP;316;27.932
01/2023;MRS;Contêiner Vazio de 40 Pés;Água Branca;SP;Jundiaí;SP;68;3.715
01/2023;MRS;Contêiner Vazio de 40 Pés;Brisamar;RJ;Eldorado;MG;17;10.403
01/2023;MRS;Contêiner Vazio de 40 Pés;Curuputuba;SP;Conceiçãozinha;SP;1.013;214.929
01/2023;MRS;Contêiner Vazio de 40 Pés;Edmar Alves;SP;Arará;RJ;245;89.731
01/2023;MRS;Contêiner Vazio de 40 Pés;Eldorado;MG;Arará;RJ;85;49.538
01/2023;MRS;Contêiner Vazio de 40 Pés;Eldorado;MG;Brisamar;RJ;34;18.772
01/2023;MRS;Contêiner Vazio de 40 Pés;Eng. Neiva;SP;Conceiçãozinha;SP;337;81.757
01/2023;MRS;Contêiner Vazio de 40 Pés;Floriano;RJ;Brisamar;RJ;286;40.475
01/2023;MRS;Contêiner Vazio de 40 Pés;Itatiaia;RJ;Arará;RJ;275;55.805
01/2023;MRS;Contêiner Vazio de 40 Pés;Itatiaia;RJ;Brisamar;RJ;14;2.411
01/2023;MRS;Contêiner Vazio de 40 Pés;Manoel Feio;SP;Arará;RJ;99;44.956
01/2023;MRS;Contêiner Vazio de 40 Pés;MultiTerminais;RJ;Arará;RJ;85;16.905
01/2023;MRS;Contêiner Vazio de 40 Pés;MultiTerminais;RJ;Brisamar;RJ;184;30.952
01/2023;MRS;Coque;Baia Sepetiba;RJ;Volta Redonda;RJ;61.594;7.329.439
01/2023;MRS;Coque;Curuputuba;SP;Ouro Branco;MG;25.859;15.562.540
01/2023;MRS;Coque;Curuputuba;SP;Volta Redonda;RJ;1.876;325.559
01/2023;MRS;Enxofre;Conceiçãozinha;SP;Várzea Paulista;SP;1.453;191.697
01/2023;MRS;Escória;Siderúrgica do Atlântico;RJ;Curuputuba;SP;3.120;947.029
01/2023;MRS;Escória;Siderúrgica do Atlântico;RJ;São Bento;SP;6.080;2.547.191
01/2023;MRS;Farelo de Soja;Pederneiras;SP;Santos;SP;11.288;5.881.793
01/2023;MRS;Ferro Gusa;Sarzedo Novo;MG;Arará;RJ;61.468;33.849.133
01/2023;MRS;Ferro Gusa;Sarzedo Novo;MG;Itaguai;RJ;7.743;4.088.396
01/2023;MRS;Ferro Gusa;Sarzedo Novo;MG;Volta Redonda;RJ;4.200;1.705.267
01/2023;MRS;Minério de Ferro;Baia Sepetiba;RJ;Volta Redonda;RJ;55.093;6.555.846
01/2023;MRS;Minério de Ferro;Carlos Newlands;MG;Baia Sepetiba;RJ;67.899;34.745.751
01/2023;MRS;Minério de Ferro;Carlos Newlands;MG;Brisamar;RJ;186.347;94.427.056
01/2023;MRS;Minério de Ferro;Carlos Newlands;MG;Guaiba;RJ;43.986;23.481.794
01/2023;MRS;Minério de Ferro;Carlos Newlands;MG;Porto Sudeste;RJ;42.432;21.628.736
01/2023;MRS;Minério de Ferro;Carlos Newlands;MG;Siderúrgica do Atlântico;RJ;86.771;45.357.544
01/2023;MRS;Minério de Ferro;Casa de Pedra;MG;Baia Sepetiba;RJ;1.052.807;464.404.748
01/2023;MRS;Minério de Ferro;Casa de Pedra;MG;Porto Sudeste;RJ;30.053;13.196.602
01/2023;MRS;Minério de Ferro;Casa de Pedra;MG;Volta Redonda;RJ;260.201;83.814.644
01/2023;MRS;Minério de Ferro;Cel. João Carlos Guedes;MG;Baia Sepetiba;RJ;41.474;17.567.764
01/2023;MRS;Minério de Ferro;Cel. João Carlos Guedes;MG;Brisamar;RJ;103.336;43.254.899
01/2023;MRS;Minério de Ferro;Cel. João Carlos Guedes;MG;Porto Sudeste;RJ;987;416.104
01/2023;MRS;Minério de Ferro;Dr. Joaquim Murtinho;MG;Baia Sepetiba;RJ;219.246;99.980.341
01/2023;MRS;Minério de Ferro;Dr. Joaquim Murtinho;MG;Brisamar;RJ;145.304;65.534.864
01/2023;MRS;Minério de Ferro;Dr. Joaquim Murtinho;MG;Guaiba;RJ;14.836;7.093.670
01/2023;MRS;Minério de Ferro;Dr. Joaquim Murtinho;MG;Porto Sudeste;RJ;44.958;20.411.786
01/2023;MRS;Minério de Ferro;Dr. Joaquim Murtinho;MG;Volta Redonda;RJ;9.565;3.223.624
01/2023;MRS;Minério de Ferro;Guaiba;RJ;Pires;MG;3.722;2.025.218
01/2023;MRS;Minério de Ferro;Itutinga;MG;Siderúrgica do Atlântico;RJ;14.611;4.920.604
01/2023;MRS;Minério de Ferro;Olhos D Água;MG;Baia Sepetiba;RJ;29.386;16.191.303
01/2023;MRS;Minério de Ferro;Olhos D Água;MG;Guaiba;RJ;44.584;25.551.402
01/2023;MRS;Minério de Ferro;Otavio Dapieve;MG;Baia Sepetiba;RJ;358.368;173.657.248
01/2023;MRS;Minério de Ferro;Otavio Dapieve;MG;Guaiba;RJ;1.075.437;544.921.777
01/2023;MRS;Minério de Ferro;Otavio Dapieve;MG;Siderúrgica do Atlântico;RJ;271.765;134.680.754
01/2023;MRS;Minério de Ferro;Otavio Dapieve;MG;Volta Redonda;RJ;65.503;23.946.717
01/2023;MRS;Minério de Ferro;Pires;MG;Baia Sepetiba;RJ;710.247;322.035.932
01/2023;MRS;Minério de Ferro;Pires;MG;Guaiba;RJ;132.223;62.876.532
01/2023;MRS;Minério de Ferro;Pires;MG;Porto Sudeste;RJ;86.608;39.096.063
01/2023;MRS;Minério de Ferro;Pires;MG;Siderúrgica do Atlântico;RJ;132.465;61.518.600
01/2023;MRS;Minério de Ferro;Sarzedo;MG;Baia Sepetiba;RJ;70.009;36.993.385
01/2023;MRS;Minério de Ferro;Sarzedo;MG;Brisamar;RJ;119.680;62.641.588
01/2023;MRS;Minério de Ferro;Sarzedo;MG;Guaiba;RJ;15.483;8.523.840
01/2023;MRS;Minério de Ferro;Sarzedo;MG;Porto Sudeste;RJ;29.549;15.554.859
01/2023;MRS;Minério de Ferro;Sarzedo Novo;MG;Baia Sepetiba;RJ;290.191;152.353.757
01/2023;MRS;Minério de Ferro;Sarzedo Novo;MG;Brisamar;RJ;43.008;22.364.676
01/2023;MRS;Minério de Ferro;Sarzedo Novo;MG;Guaiba;RJ;14.039;7.681.186
01/2023;MRS;Minério de Ferro;Sarzedo Novo;MG;Porto Sudeste;RJ;704.492;368.457.766
01/2023;MRS;Minério de Ferro;Suzano Novo;SP;Siderúrgica do Atlântico;RJ;41.280;18.640.809
01/2023;MRS;Minério de Ferro;Viga;MG;Baia Sepetiba;RJ;73.677;32.187.418
01/2023;MRS;Minério de Ferro;Viga;MG;Guaiba;RJ;177.092;81.283.811
01/2023;MRS;Minério de Ferro Especial - MRS distancia menor 100 km;Curuputuba;SP;Dias Tavares;MG;10.922;4.316.931
01/2023;MRS;Minério de Ferro Especial - MRS distancia menor 100 km;Itaguai;RJ;Pires;MG;33.089;15.102.282
01/2023;MRS;Minério de Ferro Especial - MRS distancia menor 100 km;Otavio Dapieve;MG;Ouro Branco;MG;26.110;2.557.082
01/2023;MRS;Óleo Diesel;Embiruçu;MG;Cel. João Carlos Guedes;MG;2.680;388.720
01/2023;MRS;Outras - Carga Geral Não Conteinerizada;Brisamar;RJ;Volta Redonda;RJ;570;64.977
01/2023;MRS;Outros Graneis Minerais;Arará;RJ;Dias Tavares;MG;1.740;510.646
01/2023;MRS;Outros Graneis Minerais;Arará;RJ;Terminal Paraibuna de Metais;MG;10.594;3.117.665
01/2023;MRS;Prd. Siderúrgicos - Bobina - BF;Barbará;RJ;Ouro Branco;MG;204;88.415
01/2023;MRS;Prd. Siderúrgicos - Bobina - BF;Lafaiete Bandeira;MG;Boa Vista Velha;SP;11.910;9.422.477
01/2023;MRS;Prd. Siderúrgicos - Bobina - BF;Lafaiete Bandeira;MG;São Caetano do Sul;SP;213;145.930
01/2023;MRS;Prd. Siderúrgicos - Bobina - BF;Lafaiete Bandeira;MG;Usiminas;SP;5.439;2.928.352
01/2023;MRS;Prd. Siderúrgicos - Bobina - BF;Manoel Feio;SP;Paulínia;SP;1.986;312.137
01/2023;MRS;Prd. Siderúrgicos - Bobina - BF;Ouro Branco;MG;Barbará;RJ;952;325.080
01/2023;MRS;Prd. Siderúrgicos - Bobina - BF;Ouro Branco;MG;Caçapava;SP;142;76.213
01/2023;MRS;Prd. Siderúrgicos - Bobina - BF;Ouro Branco;MG;Ipiranga;SP;1.999;1.335.617
01/2023;MRS;Prd. Siderúrgicos - Bobina - BF;Ouro Branco;MG;Itaguai;RJ;5.673;2.658.333
01/2023;MRS;Prd. Siderúrgicos - Bobina - BF;Ouro Branco;MG;Parque Industrial;MG;18.875;3.033.476
01/2023;MRS;Prd. Siderúrgicos - Bobina - BF;Ouro Branco;MG;São Bento;SP;9.826;6.016.930
01/2023;MRS;Prd. Siderúrgicos - Bobina - BF;Ouro Branco;MG;São Caetano do Sul;SP;2.522;1.695.623
01/2023;MRS;Prd. Siderúrgicos - Bobina - BF;Parque Industrial;MG;Boa Vista Velha;SP;2.288;1.988.027
01/2023;MRS;Prd. Siderúrgicos - Bobina - BF;Piaçaguera;SP;Barbará;RJ;1.977;718.803
01/2023;MRS;Prd. Siderúrgicos - Bobina - BF;Piaçaguera;SP;Ipiranga;SP;5.624;296.120
01/2023;MRS;Prd. Siderúrgicos - Bobina - BF;Piaçaguera;SP;São Caetano do Sul;SP;878;42.550
01/2023;MRS;Prd. Siderúrgicos - Bobina - BF;Piaçaguera;SP;Utinga;SP;15.513;695.897
01/2023;MRS;Prd. Siderúrgicos - Bobina - BQ;Brisamar;RJ;Volta Redonda;RJ;25.949;2.958.082
01/2023;MRS;Prd. Siderúrgicos - Bobina - BQ;Itaguai;RJ;Floriano;RJ;1.229;183.763
01/2023;MRS;Prd. Siderúrgicos - Bobina - BQ;Lafaiete Bandeira;MG;Barbará;RJ;4.699;1.664.658
01/2023;MRS;Prd. Siderúrgicos - Bobina - BQ;Lafaiete Bandeira;MG;Cruzeiro;SP;1.133;502.704
01/2023;MRS;Prd. Siderúrgicos - Bobina - BQ;Lafaiete Bandeira;MG;Manoel Feio;SP;4.038;2.607.049
01/2023;MRS;Prd. Siderúrgicos - Bobina - BQ;Lafaiete Bandeira;MG;Utinga;SP;68;46.833
01/2023;MRS;Prd. Siderúrgicos - Bobina - BQ;Parque Industrial;MG;Barbará;RJ;1.417;612.159
01/2023;MRS;Prd. Siderúrgicos - Bobina - BQ;Parque Industrial;MG;Cruzeiro;SP;1.143;596.012
01/2023;MRS;Prd. Siderúrgicos - Bobina - BQ;Piaçaguera;SP;Cruzeiro;SP;1.866;685.045
01/2023;MRS;Prd. Siderúrgicos - Bobina - BQ;Piaçaguera;SP;Ipiranga;SP;782;41.174
01/2023;MRS;Prd. Siderúrgicos - Bobina - BQ;Piaçaguera;SP;Replan;SP;2.015;386.283
01/2023;MRS;Prd. Siderúrgicos - Bobina - BQ;Piaçaguera;SP;Usiminas;SP;184;30.635
01/2023;MRS;Prd. Siderúrgicos - Bobina - BQ;Volta Redonda;RJ;Brisamar;RJ;32.876;3.747.732
01/2023;MRS;Prd. Siderúrgicos - Fio Máquina;Dias Tavares;MG;Caçapava;SP;1.006;635.429
01/2023;MRS;Prd. Siderúrgicos - Fio Máquina;Dias Tavares;MG;Eldorado;MG;4.807;1.678.296
01/2023;MRS;Prd. Siderúrgicos - Fio Máquina;Ouro Branco;MG;Barbará;RJ;1.199;409.423
01/2023;MRS;Prd. Siderúrgicos - Fio Máquina;Ouro Branco;MG;Caçapava;SP;16.182;8.685.073
01/2023;MRS;Prd. Siderúrgicos - Fio Máquina;Ouro Branco;MG;Itaguai;RJ;2.082;975.612
01/2023;MRS;Prd. Siderúrgicos - Fio Máquina;Ouro Branco;MG;Pinheirinho;SP;222;138.920
01/2023;MRS;Prd. Siderúrgicos - Fio Máquina;Saudade;RJ;Dias Tavares;MG;504;117.589
01/2023;MRS;Prd. Siderúrgicos - Outros;Barbará;RJ;Brisamar;RJ;7.445;886.870
01/2023;MRS;Prd. Siderúrgicos - Outros;Barbará;RJ;Volta Redonda;RJ;416;2.132
01/2023;MRS;Prd. Siderúrgicos - Outros;Brisamar;RJ;Curuputuba;SP;12.328;3.544.731
01/2023;MRS;Prd. Siderúrgicos - Outros;Brisamar;RJ;Manoel Feio;SP;5.228;2.213.744
01/2023;MRS;Prd. Siderúrgicos - Outros;Floriano;RJ;Cruzeiro;SP;2.521;201.632
01/2023;MRS;Prd. Siderúrgicos - Outros;Floriano;RJ;Volta Redonda;RJ;2.603;71.652
01/2023;MRS;Prd. Siderúrgicos - Outros;Itaguai;RJ;Arará;RJ;2.450;258.060
01/2023;MRS;Prd. Siderúrgicos - Outros;Itaguai;RJ;Caçapava;SP;4.877;1.635.305
01/2023;MRS;Prd. Siderúrgicos - Outros;Itaguai;RJ;Pinheirinho;SP;169;71.718
01/2023;MRS;Prd. Siderúrgicos - Outros;Lafaiete Bandeira;MG;Curuputuba;SP;17.551;8.946.165
01/2023;MRS;Prd. Siderúrgicos - Outros;Lafaiete Bandeira;MG;Floriano;RJ;1.676;609.581
01/2023;MRS;Prd. Siderúrgicos - Outros;Lafaiete Bandeira;MG;Manoel Feio;SP;13.664;8.821.874
01/2023;MRS;Prd. Siderúrgicos - Outros;Lafaiete Bandeira;MG;Piaçaguera;SP;1.910;1.351.111
01/2023;MRS;Prd. Siderúrgicos - Outros;Lafaiete Bandeira;MG;Utinga;SP;8.125;5.595.881
01/2023;MRS;Prd. Siderúrgicos - Outros;Manoel Feio;SP;Mogi das Cruzes;SP;486;11.202
01/2023;MRS;Prd. Siderúrgicos - Outros;Manoel Feio;SP;Volta Redonda;RJ;1.928;596.608
01/2023;MRS;Prd. Siderúrgicos - Outros;Ouro Branco;MG;Caçapava;SP;8.273;4.440.218
01/2023;MRS;Prd. Siderúrgicos - Outros;Ouro Branco;MG;Eng. Cesar de Souza;SP;1.501;992.561
01/2023;MRS;Prd. Siderúrgicos - Outros;Ouro Branco;MG;Ipiranga;SP;557;372.155
01/2023;MRS;Prd. Siderúrgicos - Outros;Ouro Branco;MG;Itutinga;MG;9.547;1.334.861
01/2023;MRS;Prd. Siderúrgicos - Outros;Ouro Branco;MG;Manoel Feio;SP;966;611.325
01/2023;MRS;Prd. Siderúrgicos - Outros;Ouro Branco;MG;Parque Industrial;MG;10.933;1.757.086
01/2023;MRS;Prd. Siderúrgicos - Outros;Ouro Branco;MG;São Bento;SP;748;458.036
01/2023;MRS;Prd. Siderúrgicos - Outros;Ouro Branco;MG;São Caetano do Sul;SP;2.508;1.686.211
01/2023;MRS;Prd. Siderúrgicos - Outros;Piaçaguera;SP;Manoel Feio;SP;8.241;508.955
01/2023;MRS;Prd. Siderúrgicos - Outros;Piaçaguera;SP;Siderúrgica do Atlântico;RJ;548;273.290
01/2023;MRS;Prd. Siderúrgicos - Outros;São Bento;SP;São Caetano do Sul;SP;542;32.511
01/2023;MRS;Prd. Siderúrgicos - Outros;Saudade;RJ;Caçapava;SP;491;99.041
01/2023;MRS;Prd. Siderúrgicos - Outros;Saudade;RJ;Pinheirinho;SP;720;209.355
01/2023;MRS;Prd. Siderúrgicos - Outros;Siderúrgica do Atlântico;RJ;Lafaiete Bandeira;MG;10.611;5.192.821
01/2023;MRS;Prd. Siderúrgicos - Outros;Siderúrgica do Atlântico;RJ;Piaçaguera;SP;33.096;16.587.682
01/2023;MRS;Prd. Siderúrgicos - Outros;Volta Redonda;RJ;Arará;RJ;1.208;174.752
01/2023;MRS;Prd. Siderúrgicos - Outros;Volta Redonda;RJ;Barbará;RJ;9.230;47.322
01/2023;MRS;Prd. Siderúrgicos - Outros;Volta Redonda;RJ;Brisamar;RJ;64;7.295
01/2023;MRS;Prd. Siderúrgicos - Outros;Volta Redonda;RJ;Caçapava;SP;263;56.101
01/2023;MRS;Prd. Siderúrgicos - Outros;Volta Redonda;RJ;Cruzeiro;SP;327;35.155
01/2023;MRS;Prd. Siderúrgicos - Outros;Volta Redonda;RJ;Eldorado;MG;1.247;711.847
01/2023;MRS;Prd. Siderúrgicos - Outros;Volta Redonda;RJ;Floriano;RJ;1.252;34.463
01/2023;MRS;Prd. Siderúrgicos - Outros;Volta Redonda;RJ;Manoel Feio;SP;30.764;9.519.735
01/2023;MRS;Prd. Siderúrgicos - Outros;Volta Redonda;RJ;Mogi das Cruzes;SP;667;221.774
01/2023;MRS;Prd. Siderúrgicos - Outros;Volta Redonda;RJ;São Bento;SP;4.162;1.202.609
01/2023;MRS;Prd. Siderúrgicos - Placa;Arará;RJ;Curuputuba;SP;414;131.735
01/2023;MRS;Prd. Siderúrgicos - Placa;Cel. João Carlos Guedes;MG;Barreiro;MG;18.835;2.417.848
01/2023;MRS;Prd. Siderúrgicos - Placa;Dias Tavares;MG;Parque Industrial;MG;4.853;1.689.504
01/2023;MRS;Prd. Siderúrgicos - Placa;Eldorado;MG;Itaguai;RJ;4.968;2.782.745
01/2023;MRS;Prd. Siderúrgicos - Placa;Eldorado;MG;Piaçaguera;SP;694;543.851
01/2023;MRS;Prd. Siderúrgicos - Placa;Ouro Branco;MG;Caçapava;SP;5.503;2.953.525
01/2023;MRS;Prd. Siderúrgicos - Placa;Ouro Branco;MG;Curuputuba;SP;136;67.583
01/2023;MRS;Prd. Siderúrgicos - Placa;Ouro Branco;MG;Eldorado;MG;11.713;1.894.156
01/2023;MRS;Prd. Siderúrgicos - Placa;Ouro Branco;MG;Itaguai;RJ;12.627;5.916.936
01/2023;MRS;Prd. Siderúrgicos - Placa;Ouro Branco;MG;Lafaiete Bandeira;MG;4.669;149.113
01/2023;MRS;Prd. Siderúrgicos - Placa;Ouro Branco;MG;Manoel Feio;SP;1.429;904.331
01/2023;MRS;Prd. Siderúrgicos - Placa;Ouro Branco;MG;Parque Industrial;MG;966;155.249
01/2023;MRS;Prd. Siderúrgicos - Placa;Ouro Branco;MG;Piaçaguera;SP;10.872;7.524.598
01/2023;MRS;Prd. Siderúrgicos - Placa;Ouro Branco;MG;Pinheirinho;SP;8.774;5.490.505
01/2023;MRS;Prd. Siderúrgicos - Placa;Ouro Branco;MG;São Bento;SP;748;458.036
01/2023;MRS;Prd. Siderúrgicos - Placa;Parque Industrial;MG;Barbará;RJ;1.120;483.852
01/2023;MRS;Prd. Siderúrgicos - Placa;Siderúrgica do Atlântico;RJ;Eldorado;MG;5.147;3.232.027
01/2023;MRS;Prd. Siderúrgicos - Tubos;Barreiro;MG;Arará;RJ;4.361;2.519.009
01/2023;MRS;Prd. Siderúrgicos - Tubos;Brisamar;RJ;Curuputuba;SP;400;115.014
01/2023;MRS;Prd. Siderúrgicos - Tubos;Cel. João Carlos Guedes;MG;Arará;RJ;5.961;2.677.991
01/2023;MRS;Prd. Siderúrgicos - Tubos;Cel. João Carlos Guedes;MG;Barreiro;MG;3.589;460.719
01/2023;MRS;Prd. Siderúrgicos - Tubos;Curuputuba;SP;Arará;RJ;9.550;3.038.829
01/2023;MRS;Prd. Siderúrgicos - Vergalhões;Dias Tavares;MG;Manoel Feio;SP;736;535.638
01/2023;MRS;Prd. Siderúrgicos - Vergalhões;Volta Redonda;RJ;Eldorado;MG;1.658;946.465
01/2023;MRS;Prd. Siderúrgicos - Vergalhões;Volta Redonda;RJ;Manoel Feio;SP;6.303;1.950.425
01/2023;MRS;Sucata;Eldorado;MG;Itaguai;RJ;137;76.738
01/2023;MRS;Veículos;Parque Industrial;MG;Piaçaguera;SP;585;457.849
01/2023;RMC;Açúcar;Iturama;MG;Santos;SP;37.517;33.804.389
01/2023;RMC;Adubo Orgânico a Granel;Conceiçãozinha;SP;Rio Verde;GO;14.131;17.228.088
01/2023;RMC;Cloreto de Potássio;Conceiçãozinha;SP;Rio Verde;GO;13.377;16.308.836
01/2023;RMC;Cloreto de Potássio;Cubatão;SP;Rio Verde;GO;679;814.975
01/2023;RMC;Farelo de Soja;Rio Verde;GO;Santos;SP;13.132;15.922.641
01/2023;RMC;Grãos - Milho;Rio Verde;GO;Conceiçãozinha;SP;9.814;11.964.929
01/2023;RMC;Grãos - Milho;Rio Verde;GO;Santos;SP;3.443;4.174.658
01/2023;RMC;Grãos - Milho;São Simão;GO;Conceiçãozinha;SP;46.399;46.210.105
01/2023;RMC;Grãos - Milho;São Simão;GO;Santos;SP;26.269;25.987.022
01/2023;RMC;Soja;Rio Verde;GO;Conceiçãozinha;SP;7.909;9.642.413
01/2023;RMC;Soja;Rio Verde;GO;Santos;SP;4.370;5.298.652
01/2023;RMN;Álcool;Chapadao do Sul;MS;Replan;SP;29.179;27.454.311
01/2023;RMN;Álcool;Rondonópolis;MT;Replan;SP;57.762;80.430.777
01/2023;RMN;Álcool;T. Olacyr F. Morais;MS;Replan;SP;3.928;4.137.197
01/2023;RMN;Celulose;Aparecida do Taboado;MS;Barnabé;SP;156.678;145.221.860
01/2023;RMN;Contêiner cheio 53 pés;Rondonópolis;MT;Boa Vista Nova;SP;117;160.761
01/2023;RMN;Contêiner cheio 53 pés;Rondonópolis;MT;Tutóia;SP;87;101.797
01/2023;RMN;Contêiner Cheio de 20 Pés;Rondonópolis;MT;Cubatão;SP;3.354;5.460.896
01/2023;RMN;Contêiner Cheio de 40 Pés;Rondonópolis;MT;Boa Vista Velha;SP;40.169;54.985.856
01/2023;RMN;Contêiner Cheio de 40 Pés;Rondonópolis;MT;Cubatão;SP;30.807;50.168.565
01/2023;RMN;Contêiner Cheio de 40 Pés;Rondonópolis;MT;Tutóia;SP;8.496;9.912.940
01/2023;RMN;Contêiner Vazio de 20 Pés;Rondonópolis;MT;Cubatão;SP;4;6.512
01/2023;RMN;Contêiner Vazio de 40 Pés;Rondonópolis;MT;Boa Vista Nova;SP;22;30.143
01/2023;RMN;Contêiner Vazio de 40 Pés;Rondonópolis;MT;Cubatão;SP;235;382.827
01/2023;RMN;Farelo de Soja;Alto Araguaia;MT;Conceiçãozinha;SP;2.935;4.131.648
01/2023;RMN;Farelo de Soja;Alto Araguaia;MT;Santos;SP;72.179;101.109.064
01/2023;RMN;Farelo de Soja;Rondonópolis;MT;Conceiçãozinha;SP;103.196;169.948.221
01/2023;RMN;Farelo de Soja;Rondonópolis;MT;Santos;SP;112.148;184.149.829
01/2023;RMN;Grãos - Milho;Chapadao do Sul;MS;Conceiçãozinha;SP;3.322;3.980.559
01/2023;RMN;Grãos - Milho;Rondonópolis;MT;Conceiçãozinha;SP;300.889;495.853.966
01/2023;RMN;Grãos - Milho;Rondonópolis;MT;Estação TUF;SP;1.006;1.645.535
01/2023;RMN;Grãos - Milho;Rondonópolis;MT;Santos;SP;241.169;395.759.441
01/2023;RMN;Óleo Diesel;Rondonópolis;MT;Replan;SP;253;352.424
01/2023;RMN;Soja;Rondonópolis;MT;Conceiçãozinha;SP;75.079;123.660.159
01/2023;RMN;Soja;Rondonópolis;MT;Santos;SP;180.077;295.683.080
01/2023;RMO;Minério de Ferro;Antônio Maria Coelho;MS;Porto Esperança;MS;202.762;9.423.363
01/2023;RMO;Prd. Siderúrgicos - Outros;Bauru;SP;Ladário;MS;3.306;4.300.120
01/2023;RMP;Açúcar;Boa Vista Nova;SP;Santos;SP;14.575;3.949.472
01/2023;RMP;Açúcar;Boa Vista Velha;SP;Santos;SP;43.525;11.815.641
01/2023;RMP;Açúcar;Pradopolis;SP;Santos;SP;13.728;7.405.802
01/2023;RMP;Açúcar;Rio Preto Paulista;SP;Santos;SP;29.096;19.563.421
01/2023;RMP;Açúcar;Votuporanga;SP;Santos;SP;31.189;24.157.127
01/2023;RMP;Adubo Orgânico a Granel;Conceiçãozinha;SP;Rondonópolis;MT;180.309;297.667.210
01/2023;RMP;Adubo Orgânico a Granel;Cubatão;SP;Rondonópolis;MT;3.914;6.372.315
01/2023;RMP;Cloreto de Potássio;Conceiçãozinha;SP;Rondonópolis;MT;17.495;28.814.160
01/2023;RMP;Contêiner Cheio de 20 Pés;Cubatão;SP;Rondonópolis;MT;292;475.400
01/2023;RMP;Contêiner Cheio de 40 Pés;Boa Vista Nova;SP;Rondonópolis;MT;38;52.069
01/2023;RMP;Contêiner Cheio de 40 Pés;Boa Vista Velha;SP;Rondonópolis;MT;13.803;18.894.413
01/2023;RMP;Contêiner Cheio de 40 Pés;Cubatão;SP;Rondonópolis;MT;2.330;3.793.432
01/2023;RMP;Contêiner Cheio de 40 Pés;Tutóia;SP;Rondonópolis;MT;1.239;1.446.587
01/2023;RMP;Contêiner Vazio de 20 Pés;Boa Vista Velha;SP;Rondonópolis;MT;352;481.839
01/2023;RMP;Contêiner Vazio de 20 Pés;Cubatão;SP;Rondonópolis;MT;529;863.021
01/2023;RMP;Contêiner Vazio de 20 Pés;Tutóia;SP;Rondonópolis;MT;7;8.190
01/2023;RMP;Contêiner Vazio de 40 Pés;Boa Vista Velha;SP;Rondonópolis;MT;2.434;3.331.811
01/2023;RMP;Contêiner Vazio de 40 Pés;Cubatão;SP;Rondonópolis;MT;3.896;6.356.012
01/2023;RMP;Contêiner Vazio de 40 Pés;Tutóia;SP;Rondonópolis;MT;747;869.822
01/2023;RMP;Gasolina;Replan;SP;Rondonópolis;MT;4.246;5.895.690
01/2023;RMP;Gasolina;Replan;SP;T. Olacyr F. Morais;MS;2.135;2.255.830
01/2023;RMP;Óleo Diesel;Replan;SP;Rio Preto Paulista;SP;2.714;1.142.168
01/2023;RMP;Óleo Diesel;Replan;SP;Rondonópolis;MT;60.815;84.565.555
01/2023;RMP;Óleo Diesel;Replan;SP;T. Olacyr F. Morais;MS;9.492;10.029.198
01/2023;RMP;Ureia;Cubatão;SP;Rondonópolis;MT;12.158;19.797.842
01/2023;RMP;Ureia;Estação TUF;SP;Rondonópolis;MT;6.949;11.366.625
01/2023;RMS;Açúcar;Londrina;PR;D Pedro II;PR;37.044;23.375.055
01/2023;RMS;Açúcar;Marialva;PR;D Pedro II;PR;49.902;30.948.516
01/2023;RMS;Açúcar;Maringa;PR;D Pedro II;PR;81.907;53.383.498
01/2023;RMS;Açúcar;Rolandia;PR;D Pedro II;PR;56.417;34.703.567
01/2023;RMS;Adubo Orgânico a Granel;D Pedro II;PR;Cará-Cará;PR;55;13.193
01/2023;RMS;Adubo Orgânico a Granel;km 5;PR;Cascavel;PR;2.683;1.959.862
01/2023;RMS;Adubo Orgânico a Granel;km 5;PR;Maringa;PR;2.666;1.726.057
